id,success,testType,failedAt,deviation,objPosX,objPosY,goalPosX,goalPosY,j1,j2,j3,j4,j5,j6,x,y,z,q1,q2,q3,totalThrowTime,calibImgTime,findObjTime,pathCalcTime,grabTime,throwTime,apiLogTime
108,0,"Golfball: reduced throwTime",Throw,7,0.356108,0.405274,0.191489,0.718182,0,0,0,0,0,0,0,0,0,0,0,0,26401.4,-1,9765.48,0.255589,7191.19,14340.9,9.37321
109,0,"Golfball: reduced throwTime",Throw,7,0.294589,0.508508,0.196049,0.720455,0,0,0,0,0,0,0,0,0,0,0,0,17900.3,-1,9901.41,0.233479,6730.83,15136,32.9258
110,0,"Golfball: reduced throwTime",Throw,2,0.299162,0.508518,0.198328,0.611364,0,0,0,0,0,0,0,0,0,0,0,0,18791.2,-1,5744.12,0.232576,6706.66,9051.64,10.0727
111,0,"Golfball: reduced throwTime",Throw,5,0.303735,0.508527,0.191489,0.506818,0,0,0,0,0,0,0,0,0,0,0,0,21405.1,-1,7103.45,0.230761,6701.53,11083.7,9.80772
112,1,"Golfball: reduced throwTime",,-1,0.306032,0.51313,0.193769,0.4,0,0,0,0,0,0,0,0,0,0,0,0,17527.4,-1,7672.26,0.398471,6771.88,9547.37,9.81937
113,0,"Golfball: reduced throwTime",Throw,6,0.31061,0.515439,0.196049,0.297727,2.13245,-2.03596,2.31493,-1.86496,-1.55214,-1.37825,0.244498,-0.180003,0.28032,-2.58142,1.77173,-0.0344368,16618.1,-1,7597.75,0.353333,6706.61,11776.2,9.19925
114,0,"Golfball: reduced throwTime",Throw,3,0.312897,0.515444,0.193769,0.190909,0,0,0,0,0,0,0,0,0,0,0,0,15897.5,-1,10863.9,0.230017,6685.08,15677.2,9.918
115,0,"Golfball: reduced throwTime",Throw,1,0.315184,0.515449,0.193769,0.0818182,0,0,0,0,0,0,0,0,0,0,0,0,16747.8,-1,6889.9,0.229973,6684.88,10960.9,10.9134
126,0,"Consistency test: Golfball",Throw,1,0.356333,0.504048,0.120821,0.156818,2.13334,-2.03671,2.31525,-1.86474,-0.552023,-1.37744,0.302465,-0.14248,0.319546,-1.7891,1.21739,-0.495716,49554.1,-1,8877.33,0.45063,6894.91,69068.3,9.51667
127,1,"Consistency test: Golfball",,-1,0.363202,0.506363,0.120821,0.154545,0,0,0,0,0,0,0,0,0,0,0,0,32351.7,-1,24324.9,0.410236,6883.94,26208.7,35.3557
128,0,"Consistency test: Golfball",Throw,1,0.376916,0.4995,0.113982,0.152273,0,0,0,0,0,0,0,0,0,0,0,0,17197.3,-1,26358.5,0.246038,6943.72,29663.2,8.91492
129,0,"Consistency test: Golfball",Throw,2,0.381493,0.499511,0.111702,0.152273,0,0,0,0,0,0,0,0,0,0,0,0,18416.2,-1,6978.82,0.353157,6978.76,10477.5,8.90223
130,1,"Consistency test: Golfball",,-1,0.388354,0.497229,0.116261,0.154545,0,0,0,0,0,0,0,0,0,0,0,0,24502.5,-1,8092.81,0.23561,7010.83,9950.81,33.1729
131,1,"Consistency test: Golfball",,-1,0.392932,0.497241,0.129939,0.184091,0,0,0,0,0,0,0,0,0,0,0,0,35660.3,-1,4688.53,0.237647,7030.92,6544.92,32.7921
132,1,"Consistency test: Golfball",,-1,0.395221,0.497246,0.136778,0.181818,0,0,0,0,0,0,0,0,0,0,0,0,22175,-1,18207.7,0.255262,7025.18,20086.7,10.8253
133,1,"Consistency test: Golfball",,-1,0.55824,0.596654,0.132219,0.181818,0,0,0,0,0,0,0,0,0,0,0,0,28379.2,-1,4716.86,0.434768,7847.02,6580.51,10.1525
